time,source,dest,protocol,size,description,website
8.942978655,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.944044087,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.944254497,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.944337522,172.28.0.2,35.186.194.58,QUIC,1239,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.948140065,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.948354392,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.948723343,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.952105538,185.199.110.154,172.28.0.2,TLSv1.3,232,Application Data,github
8.952159619,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=3051 Ack=518738 Win=677248 Len=0 TSval=3751134142 TSecr=3799369382,github
8.953853384,185.199.110.154,172.28.0.2,TCP,1514,[TCP segment of a reassembled PDU],github
8.953875636,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=3051 Ack=520186 Win=680192 Len=0 TSval=3751134144 TSecr=3799369384,github
8.953961867,185.199.110.154,172.28.0.2,TCP,1514,443 → 43450 [ACK] Seq=520186 Ack=3051 Win=524288 Len=1448 TSval=3799369384 TSecr=3751134142 [TCP segment of a reassembled PDU],github
8.953970454,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=3051 Ack=521634 Win=683136 Len=0 TSval=3751134144 TSecr=3799369384,github
8.953982376,185.199.110.154,172.28.0.2,TCP,1514,443 → 43450 [ACK] Seq=521634 Ack=3051 Win=524288 Len=1448 TSval=3799369384 TSecr=3751134142 [TCP segment of a reassembled PDU],github
8.953985772,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=3051 Ack=523082 Win=685952 Len=0 TSval=3751134144 TSecr=3799369384,github
8.953993196,185.199.110.154,172.28.0.2,TCP,1514,443 → 43450 [ACK] Seq=523082 Ack=3051 Win=524288 Len=1448 TSval=3799369384 TSecr=3751134142 [TCP segment of a reassembled PDU],github
8.953996613,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=3051 Ack=524530 Win=688896 Len=0 TSval=3751134144 TSecr=3799369384,github
8.954004678,185.199.110.154,172.28.0.2,TCP,1514,443 → 43450 [ACK] Seq=524530 Ack=3051 Win=524288 Len=1448 TSval=3799369384 TSecr=3751134142 [TCP segment of a reassembled PDU],github
8.954007202,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=3051 Ack=525978 Win=691712 Len=0 TSval=3751134144 TSecr=3799369384,github
8.954045324,185.199.110.154,172.28.0.2,TCP,1514,443 → 43450 [ACK] Seq=525978 Ack=3051 Win=524288 Len=1448 TSval=3799369384 TSecr=3751134142 [TCP segment of a reassembled PDU],github
8.954049923,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=3051 Ack=527426 Win=694656 Len=0 TSval=3751134144 TSecr=3799369384,github
